Acc Id,Source,Collection Time,Length,qR,initial date,date gap
YP_009724390.1,China,2019-12,1273,30.16105055,23-12-2019,#VALUE!
QLI46289.1,"USA: Arkansas, Little Rock",01-04-2020,1273,29.76636445,23-12-2019,100
QLI46301.1,"USA: Arkansas, Little Rock",01-04-2020,1273,29.76636445,23-12-2019,100
QLI49589.1,"USA: Wisconsin, Dane county",15-03-2020,1273,29.76636445,23-12-2019,83
QLI49601.1,"USA: Wisconsin, Dane county",14-03-2020,1273,29.76636445,23-12-2019,82
QLI49613.1,"USA: Wisconsin, Dane county",15-03-2020,1273,29.76636445,23-12-2019,83
QLI49625.1,"USA: Wisconsin, Dane county",21-03-2020,1273,30.16105055,23-12-2019,89
QLI49637.1,"USA: Wisconsin, Dane county",21-03-2020,1273,30.16105055,23-12-2019,89
QLI49649.1,"USA: Wisconsin, Dane county",21-03-2020,1273,29.76636445,23-12-2019,89
QLI49661.1,"USA: Wisconsin, Dane county",21-03-2020,1273,30.16105055,23-12-2019,89
QLH64779.1,India: Vadodara,05-06-2020,1273,31.50698148,23-12-2019,165
QLH64791.1,India: Rajkot,12-06-2020,1273,31.12841323,23-12-2019,172
QLH64803.1,India: Rajkot,12-06-2020,1273,31.12841323,23-12-2019,172
QLH64815.1,India: Modasa,14-06-2020,1273,30.75924236,23-12-2019,174
QLH64827.1,India: Rajkot,12-06-2020,1273,29.89189701,23-12-2019,172
QLH64839.1,India: Rajkot,12-06-2020,1273,30.04512389,23-12-2019,172
QLH64851.1,India: Jetpur,12-06-2020,1273,29.76636445,23-12-2019,172
QLH64863.1,India: Jetpur,12-06-2020,1273,29.89189701,23-12-2019,172
QLH64877.1,India: Rajkot,12-06-2020,1273,29.89189701,23-12-2019,172
QLH64889.1,India: Rajkot,12-06-2020,1273,30.05707997,23-12-2019,172
QLH64901.1,India: Surat,11-06-2020,1273,29.76636445,23-12-2019,171
QLH64917.1,India: Surat,11-06-2020,1273,29.76636445,23-12-2019,171
QLH64929.1,India: Surat,11-06-2020,1273,29.89189701,23-12-2019,171
QLH64941.1,India: Surat,11-06-2020,1273,30.60413708,23-12-2019,171
QLH90042.1,India: Surat,12-06-2020,1273,29.89189701,23-12-2019,172
QLH90078.1,India: Surat,12-06-2020,1273,29.89189701,23-12-2019,172
QLH90090.1,India: Choryasi,13-06-2020,1273,29.76636445,23-12-2019,173
QLH90103.1,India: Surat,13-06-2020,1273,29.89189701,23-12-2019,173
QLH93119.1,India: Surat,13-06-2020,1273,30.29948638,23-12-2019,173
QLH93131.1,India: Surat,13-06-2020,1273,30.18385791,23-12-2019,173
QLH93187.1,India: Surat,13-06-2020,1273,29.89189701,23-12-2019,173
QLH93201.1,India: Surat,13-06-2020,1273,29.76636445,23-12-2019,173
QLH93214.1,India: Surat,13-06-2020,1273,29.89189701,23-12-2019,173
QLH93285.1,India: Surat,13-06-2020,1273,29.76636445,23-12-2019,173
QLH93428.1,Bangladesh: Jashore,07-07-2020,1273,29.76636445,23-12-2019,197
QLH93440.1,Bangladesh: Jashore,07-07-2020,1273,29.76636445,23-12-2019,197
QLH93452.1,Bangladesh: Jashore,07-07-2020,1273,29.76636445,23-12-2019,197
QLH93630.1,Bangladesh: Khulna,07-07-2020,1273,29.76636445,23-12-2019,197
QLH93642.1,Bangladesh: Khulna,07-07-2020,1273,29.76636445,23-12-2019,197
QLH93654.1,Bangladesh: Khulna,07-07-2020,1273,29.76636445,23-12-2019,197
QLI33444.1,USA,12-05-2020,1273,29.76636445,23-12-2019,141
QLI33456.1,USA,12-05-2020,1273,29.48208108,23-12-2019,141
QLI33468.1,USA,13-05-2020,1273,30.09797923,23-12-2019,142
QLI33480.1,USA,13-05-2020,1273,29.76636445,23-12-2019,142
QLI33492.1,USA,13-05-2020,1273,31.45058975,23-12-2019,142
QLI33504.1,USA,14-05-2020,1273,29.95144288,23-12-2019,143
QLI33516.1,"USA: South Carolina, Berkeley",06-03-2020,1273,30.16105055,23-12-2019,74
QLI33528.1,"USA: South Carolina, Berkeley",07-03-2020,1273,30.16105055,23-12-2019,75
QLI33540.1,"USA: South Carolina, Berkeley",10-03-2020,1273,30.16105055,23-12-2019,78
QLI33552.1,"USA: South Carolina, Berkeley",18-03-2020,1273,30.16105055,23-12-2019,86
QLI33564.1,"USA: South Carolina, Berkeley",25-03-2020,1273,30.16105055,23-12-2019,93
QLI33576.1,"USA: South Carolina, Berkeley",25-03-2020,1273,30.16105055,23-12-2019,93
QLI33588.1,"USA: South Carolina, Berkeley",26-03-2020,1273,30.16105055,23-12-2019,94
QLI33600.1,"USA: South Carolina, Berkeley",27-03-2020,1273,30.16105055,23-12-2019,95
QLI33612.1,"USA: South Carolina, Richland",17-04-2020,1273,29.76636445,23-12-2019,116
QLI33624.1,"USA: South Carolina, Richland",17-04-2020,1273,29.76636445,23-12-2019,116
QLI33636.1,"USA: South Carolina, Richland",24-04-2020,1273,29.76636445,23-12-2019,123
QLI33648.1,"USA: South Carolina, Richland",24-04-2020,1273,30.16105055,23-12-2019,123
QLI33660.1,"USA: South Carolina, Richland",24-04-2020,1273,29.76636445,23-12-2019,123
QLI33672.1,"USA: South Carolina, Fairfield",04-05-2020,1273,29.76636445,23-12-2019,133
QLH27654.1,USA,11-05-2020,1273,29.76636445,23-12-2019,140
QLH27666.1,USA,11-05-2020,1273,29.20291028,23-12-2019,140
QLH27678.1,USA,11-05-2020,1273,29.20291028,23-12-2019,140
QLH27690.1,USA,12-05-2020,1273,29.76636445,23-12-2019,141
QLH27702.1,USA,12-05-2020,1273,29.76636445,23-12-2019,141
QLH27714.1,USA,11-05-2020,1273,29.20291028,23-12-2019,140
QLH27726.1,USA,23-04-2020,1273,29.20291028,23-12-2019,122
QLH27738.1,USA,24-04-2020,1273,29.20291028,23-12-2019,123
QLH27750.1,USA,24-04-2020,1273,29.76636445,23-12-2019,123
QLH27762.1,USA,23-04-2020,1273,29.20291028,23-12-2019,122
QLH27774.1,USA,24-04-2020,1273,29.76636445,23-12-2019,123
QLH27786.1,USA,24-04-2020,1273,29.20291028,23-12-2019,123
QLH27798.1,USA,24-04-2020,1273,29.79461101,23-12-2019,123
QLH27810.1,USA,24-04-2020,1273,29.76636445,23-12-2019,123
QLH27822.1,USA,25-04-2020,1273,29.76636445,23-12-2019,124
QLH27834.1,USA,25-04-2020,1273,29.76636445,23-12-2019,124
QLH27846.1,USA,25-04-2020,1273,29.76636445,23-12-2019,124
QLH27858.1,USA,25-04-2020,1273,29.76636445,23-12-2019,124
